metric,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
macaques_0.2_0.6_0.9_0.2_singlekalman,71.063,71.15,71.398,76.044,80.347,78.848,78.243,83.23,73.656,88.6,80.183,71.042,88.699,80.825,88.836,91.74,96.932,85.714,9.5238,4.7619,11373,1024,360,17,36,4,2,127,71.107,86.896,84.569,89.355,10484,1913,1249,11733,12397,43,42
macaques_0.2_0.6_0.9_0.3_doublekalman,70.49,69.306,72.077,73.511,80.955,79.647,77.834,83.32,72.765,87.711,80.384,70.506,86.352,80.887,86.432,88.618,97.593,76.19,19.048,4.7619,10986,1411,271,10,32,8,2,102,69.414,86.218,82.254,90.584,10197,2200,1060,11257,12397,38,42
macaques_0.2_0.6_0.9_0.3_singlekalman,71.639,71.251,72.435,76.07,80.416,79.337,79.417,83.215,74.205,89.431,80.203,71.727,88.86,80.778,88.997,91.796,97.041,85.714,9.5238,4.7619,11380,1017,347,17,36,4,2,126,71.215,88.012,85.634,90.526,10616,1781,1111,11727,12397,45,42
macaques_0.2_0.6_0.9_0.4_doublekalman,70.325,69.407,71.63,73.432,81.201,79.72,77.362,83.325,72.502,87.545,80.401,70.387,86.537,80.889,86.594,88.513,97.877,78.571,16.667,4.7619,10973,1424,238,7,33,7,2,103,69.621,85.818,81.713,90.358,10130,2267,1081,11211,12397,37,42
macaques_0.2_0.6_0.9_0.4_singlekalman,72.399,71.413,73.802,76.11,80.582,79.869,80.574,83.223,74.922,90.409,80.229,72.535,89.118,80.786,89.239,91.845,97.241,85.714,9.5238,4.7619,11386,1011,323,15,36,4,2,126,71.471,90.069,87.57,92.715,10856,1541,853,11709,12397,45,42
macaques_0.2_0.6_0.9_0.5_doublekalman,71.589,69.555,74.015,73.505,81.31,80.973,79.691,83.33,73.741,89.308,80.43,71.83,86.795,80.886,86.852,88.626,98.037,80.952,14.286,4.7619,10987,1410,220,7,34,6,2,104,69.855,88.07,83.843,92.746,10394,2003,813,11207,12397,38,42
macaques_0.2_0.6_0.9_0.5_singlekalman,73.622,71.487,76.189,76.105,80.674,80.912,82.495,83.215,76.127,92.185,80.222,73.952,89.376,80.767,89.497,91.917,97.435,85.714,9.5238,4.7619,11395,1002,300,15,36,4,2,127,71.698,92.529,89.909,95.306,11146,1251,549,11695,12397,45,42
macaques_0.2_0.6_0.9_0.6_doublekalman,71.804,69.596,74.408,73.469,81.409,81.031,80.127,83.34,73.92,89.627,80.447,72.102,86.9,80.885,86.957,88.602,98.177,80.952,14.286,4.7619,10984,1413,204,7,34,6,2,102,69.964,88.539,84.222,93.323,10441,1956,747,11188,12397,38,42
macaques_0.2_0.6_0.9_0.6_singlekalman,73.246,71.403,75.48,76.101,80.559,80.704,82.01,83.21,75.773,91.741,80.239,73.612,89.159,80.756,89.32,91.893,97.276,85.714,9.5238,4.7619,11392,1005,319,20,36,4,2,129,71.475,91.472,88.941,94.151,11026,1371,685,11711,12397,46,42
macaques_0.2_0.6_0.9_0.7_doublekalman,71.778,69.437,74.524,73.261,81.461,80.839,80.351,83.36,73.872,89.524,80.502,72.068,86.755,80.897,86.819,88.376,98.269,80.952,14.286,4.7619,10956,1441,193,8,34,6,2,101,69.872,88.635,84.174,93.596,10435,1962,714,11149,12397,39,42
macaques_0.2_0.6_0.9_0.7_singlekalman,73.841,71.458,76.675,76.106,80.619,80.657,83.525,83.217,76.37,92.397,80.251,74.149,89.288,80.753,89.433,91.917,97.368,85.714,9.5238,4.7619,11395,1002,308,18,36,4,2,127,71.597,92.622,90.03,95.369,11161,1236,542,11703,12397,49,42
macaques_0.2_0.6_0.9_0.8_doublekalman,73.024,69.312,77.242,72.996,81.702,81.123,84.338,83.441,75.073,91.025,80.633,73.396,86.537,81.002,86.585,87.965,98.456,78.571,11.905,9.5238,10905,1492,171,6,33,5,4,96,69.825,91.39,86.521,96.84,10726,1671,350,11076,12397,43,42
macaques_0.2_0.6_0.9_0.8_singlekalman,73.821,71.549,76.517,76.122,80.726,80.307,83.961,83.224,76.3,92.508,80.253,74.241,89.417,80.734,89.586,91.942,97.502,85.714,9.5238,4.7619,11398,999,292,21,36,4,2,127,71.703,92.257,89.627,95.047,11111,1286,579,11690,12397,52,42
