metric,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
macaques_macaquecp_50_1e-5,69.326,64.775,74.475,70.425,78.795,77.577,84.747,83.686,72.406,85.707,80.766,69.222,79.18,81.357,79.422,84.399,94.431,73.81,11.905,14.286,10463,1934,617,30,31,5,6,28,63.446,83.631,79.189,88.601,9817,2580,1263,11080,12397,67,42
macaques_macaquecp_50_5e-5,71.688,68.438,75.413,73.317,80.434,79.043,84.54,83.709,74.339,88.877,80.887,71.89,84.44,81.361,84.553,87.852,96.381,80.952,11.905,7.1429,10891,1506,409,14,34,5,3,24,68.065,87.741,83.859,92,10396,2001,904,11300,12397,64,42
macaques_macaquecp_60,65.909,63.081,69.201,71.648,72.913,72.88,80.725,81.606,70.388,84.883,77.834,66.068,78.301,78.7,78.616,88.441,90.002,80.952,11.905,7.1429,10964,1433,1218,39,34,5,3,43,59.463,83.413,82.689,84.149,10251,2146,1931,12182,12397,66,42
macaques_macaquecp_60_1e-5,70.183,66.208,74.69,71.506,80.107,78.176,84.344,84.098,73.066,86.741,80.962,70.227,80.536,81.868,80.729,84.996,95.22,73.81,16.667,9.5238,10537,1860,529,24,31,7,4,38,65.124,84.388,79.858,89.463,9900,2497,1166,11066,12397,62,42
macaques_macaquecp_60_5e-5,71.368,68.315,74.888,73.401,80.286,78.314,85.016,83.738,74.125,88.504,80.74,71.458,83.932,81.429,84.02,87.723,95.95,80.952,9.5238,9.5238,10875,1522,459,11,34,4,4,37,67.64,87.101,83.367,91.186,10335,2062,999,11334,12397,59,42
macaques_macaquecp_70,64.597,62.14,67.85,72.894,69.878,72.409,79.305,80.723,70.192,85.476,75.126,64.215,75.768,77.907,76.067,90.191,86.46,80.952,11.905,7.1429,11181,1216,1751,37,34,5,3,65,55.842,81.835,83.601,80.142,10364,2033,2568,12932,12397,82,42
macaques_macaquecp_70_1e-5,69.626,65.374,74.432,70.561,79.084,77.786,84.083,83.219,72.456,87.118,80.01,69.703,80.455,80.842,80.576,84.9,95.154,73.81,16.667,9.5238,10525,1872,536,15,31,7,4,31,64.19,85.225,80.632,90.372,9996,2401,1065,11061,12397,62,42
macaques_macaquecp_70_5e-5,70.993,67.922,74.523,73.11,79.393,77.771,84.701,83.18,73.796,88.646,80.226,71.118,83.996,80.782,84.101,88.094,95.664,78.571,14.286,7.1429,10921,1476,495,13,33,6,3,31,67.066,87.297,83.843,91.048,10394,2003,1022,11416,12397,69,42
macaques_macaquecp_80,63.174,61.168,65.493,68.893,71.704,70.021,77.776,80.19,67.138,84.127,75.879,63.834,78.196,77.271,78.446,87.263,90.824,78.571,16.667,4.7619,10818,1579,1093,31,33,7,2,42,58.362,82.294,80.681,83.973,10002,2395,1909,11911,12397,72,42
macaques_macaquecp_80_1e-5,70.64,65.389,76.558,71.987,77.859,79.965,84.979,83.732,74.222,87.834,80.773,70.946,79.471,81.455,79.568,86.013,93.029,78.571,11.905,9.5238,10663,1734,799,12,33,5,4,27,63.52,86.45,83.189,89.976,10313,2084,1149,11462,12397,60,42
macaques_macaquecp_80_5e-5,71.156,68.197,74.556,72.539,80.58,77.837,84.393,83.295,73.524,88.623,80.389,71.243,84.738,80.9,84.875,87.449,97.142,78.571,11.905,9.5238,10841,1556,319,17,33,5,4,21,68.035,87.244,82.891,92.079,10276,2121,884,11160,12397,60,42
macaques_macaquecp_90,60.366,55.913,65.488,71.968,62.46,69.168,78.138,80.399,68.606,80.87,74.63,60.353,63.007,77.606,63.499,89.36,77.555,83.333,11.905,4.7619,11078,1319,3206,61,35,5,2,71,42.996,76.122,81.915,71.094,10155,2242,4129,14284,12397,97,42
macaques_macaquecp_90_1e-5,70.495,65.423,76.25,71.464,78.34,79.9,84.425,83.544,73.795,87.735,80.607,70.721,80.39,81.239,80.511,85.868,94.129,76.19,11.905,11.905,10645,1752,664,15,32,5,5,28,64.281,87.168,83.343,91.361,10332,2065,977,11309,12397,56,42
